Close Ratio	High Ratio	Low Ratio		
2013-07-18				-0.0241550917
2013-07-17	0.9779179811	0.9734728993	1.0011471179	0.0123183477
2013-07-16	0.9982768524	0.9919586445	1.0011487651	0.9981408778
2013-07-15	0.9995695222	0.9977041182	1.0030133448	-1.6262705087
2013-07-12	1.006932409	0.9933564414	1.006932409	1.0948024895
2013-07-11	1.0096097845	0.9951951077	1.0122306348	0
