Close Ratio	High Ratio	Low Ratio		
2013-07-18				-2.3562210057
2013-07-17	0.997339848	0.9948968512	1.0063626493	-0.532417246
2013-07-16	0.9918889476	0.9857301565	1.0009060218	-0.427701428
2013-07-15	1.0004219409	0.9914097155	1.0040030293	3.3653278466
2013-07-12	1.0032608696	0.994826087	1.0032608696	-0.7148220675
2013-07-11	1.0079299014	0.9950930997	1.0085542169	0.1172606462
