14-Jun-13,	Constituent Name,	Constituent Symbol
,,AAPL
,,ABT
,,AMGN
,,AMZN
,,AXP
,,BAC
,,BMY
,,C
,,CAT
,,CMCSA
,,COP
,,CSCO
,,CVS
,,CVX
,,DIS
,,FB
,,GE
,,GOOG
,,HD
,,IBM
,,INTC
,,JNJ
,,JPM
,,KO
,,MCD
,,MMM
,,MO
,,MRK
,,MSFT
,,ORCL
,,OXY
,,PEP
,,PFE
,,PG
,,PM
,,QCOM
,,SLB
,,T
,,UNH
,,UNP
,,UPS
,,USB
,,UTX
,,V
,,VZ
,,WFC
,,WMT
,,XOM
